"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 05 13:41:31 IST 2022","Sun Jun 05 13:41:38 IST 2022","7106","","Dunzo Login","","Dunzo Login","search for groceries","search for groceries",""
"passed","Wed May 25 23:27:37 IST 2022","Wed May 25 23:27:46 IST 2022","9043","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"broken","Wed May 25 13:28:10 IST 2022","Wed May 25 13:28:20 IST 2022","10335","","My Login application","","My Login application","alert message for besic auth","alert message for besic auth",""
"passed","Sun Jun 05 13:41:45 IST 2022","Sun Jun 05 13:41:50 IST 2022","5173","","My Login application","","My Login application","scrolling horizontallu","scrolling horizontallu",""
"broken","Wed May 25 23:26:42 IST 2022","Wed May 25 23:26:52 IST 2022","10370","","My Login application","","My Login application","alert message for besic auth","alert message for besic auth",""
"passed","Sun Jun 05 13:41:32 IST 2022","Sun Jun 05 13:41:40 IST 2022","7311","","Dunzo Login","","Dunzo Login","search for groceries","search for groceries",""
"passed","Sun Jun 05 13:41:46 IST 2022","Sun Jun 05 13:41:53 IST 2022","6721","","My Login application","","My Login application","scrolling horizontallu","scrolling horizontallu",""
"broken","Wed May 25 13:35:06 IST 2022","Wed May 25 13:35:17 IST 2022","11459","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Sun Jun 05 13:37:10 IST 2022","Sun Jun 05 13:37:15 IST 2022","5570","","My Login application","","My Login application","scrolling horizontallu","scrolling horizontallu",""
"passed","Sun Jun 05 13:37:03 IST 2022","Sun Jun 05 13:37:07 IST 2022","4238","","Dunzo Login","","Dunzo Login","search for groceries","search for groceries",""
"broken","Wed May 25 15:32:41 IST 2022","Wed May 25 15:32:41 IST 2022","373","","My Login application","","My Login application","clicked checkboxes","clicked checkboxes",""
"passed","Wed May 25 23:27:46 IST 2022","Wed May 25 23:27:47 IST 2022","732","","My Login application","","My Login application","forgot password","forgot password",""
